mens,red/yellow,1981,red,athletics west,nike
mens,white/grey,1982,original edition air force 1,air force 1,nike
mens,white/grey,1982,original edition air force 1,air force 1,nike
mens,white/navy,1983,navy,sampson hi,puma
mens,blue/silver,1983,blue/silver,albatross,karhu
mens,white/red,1983,red,fast break,converse
mens,grey/navy,1983,grey/navy,snowjogger,karhu
mens,deep red/indigo/white/silver/black,1983,deep red/indigo ,california,patrick
womens,pink/white,1983,pink,1805,puma
mens,black/varsity red/blue/white/orange,1983,black/varsity red/blue,special cross,patrick
mens,white/metallic silver,1984,metallic silver,starion 84,converse
mens,grey/red,1984,grey,spirit of the games,adidas
mens,grey/cobalt blue,1984,blue,columbia,nike
mens,blue/white,1984,blue,boston,adidas
mens,white/red/black,1985,og,air jordan 1,jordan
mens,white/blue/silver,1985,blue,pursuit,nike
mens,white/purple/yellow,1985,purple,air jordan 1,jordan
mens,blue/white,1985,blue,top jogger,puma
mens,yellow/black,1986,yellow,sock racer,nike
mens,grey/silver,1986,grey,air control,nike
mens,tan/charcoal black,1987,tan,air safari,nike
mens,cream/black/turqoise,1987,cream/black/turqoise,turbo bg,patrick
mens,navy/silver,1987,navy/silver,solo,karhu
mens,white/navy,1987,white/navy,avante,karhu
mens,white/black/red,1987,black cat,cat,puma
mens,white/natural,1988,white,air/commander,nike
mens,natural/white/wine,1988,white/wine,wimbledon classic,nike
mens,white/black,1988,black,court force low,nike
mens,royal blue/yellow/white/dark pink/lime green,1988,royal blue/dark pink,outbreak high,nike
womens,white/green/white/maroon,1988,green/maroon,stamina,nike
mens,white/natural/black/black,1988,white/black,field commander,nike
mens,white/tech grey/white/dark royal blue,1988,tech grey/dark royal blue,air delta force 3/4,nike
mens,white/capri blue/yellow,1988,capri blue,air ace 3/4,nike
mens,white/royal blue/white/red,1988,royal blue/red,air alpha force low,nike
mens,white/royal blue/white/tech grey,1988,royal blue/tech grey,air revolution,nike
mens,white/royal blue/black/white/black/purple passion,1988,royal blue/black,sky force low,nike
mens,white/royal blue/black,1988,royal blue,smoke,nike
womens,white/orange/white/gold,1988,orange/gold,stamina,nike
womens,white/purple/white/red,1988,purple/red,precision d,nike
womens,white/purple/white/red,1988,purple/red,stamina,nike
mens,red/white/black/white,1988,red/black,greco supreme,nike
mens,pillowcase/forest green,1988,forest green,air max 1 leather,nike
womens,white/sea mist/white/tile,1988,sea mist/tile,court lite leather,nike
mens,royal blue/yellow/black/white,1988,yellow/black/white,outbreak high,nike
mens,white/columbia blue/tech grey,1988,columbia blue,return ac,nike
mens,white/white/cosmic blue/black/black/red,1988,cosmic blue/red,rake ac,nike
womens,white/maroon/white/silver,1988,maroon/silver,precision d,nike
mens,white/navy/white/green,1988,navy/green,all court (leather),nike
womens,pillowcase/apricot,1988,pillowcase/apricot,capri,nike
mens,whitesilver/midnight blue,1988,midnight blue,air windrunner,nike
mens,royal blue/white,1988,royal blue,combatant,nike
mens,white/natural/white/navy blue,1988,natural/navy blue,all court (canvas),nike
mens,citron yellow/light blue,1988,citron yellow,aqua sock,nike
mens,natural/green/white/navy blue,1988,natural/green/navy blue,wimbledon classic,nike
mens,white/royal blue/yellowcerise,1988,royal blue,zoom ultra,nike
womens,white/perf,1988,white/perf,leather cortez light,nike
mens,white/dk tech grey/maroon/dk tech grey,1988,maroon/dk tech grey,air assault high,nike
womens,white/purple passion,1988,purple passion,air cross trainer low,nike
mens,black/white/tech grey/white/red,1988,black/white/red,air delta force high,nike
womens,white/light grey/dark blue/white/light grey/rosestone,1988,dark blue/rosestone,air trainer tw,nike
womens,white/fire red,1988,white/fire red,streamline,nike
mens,white/natural/white/red,1988,natural/red,court force high,nike
womens,white/lilac ice/white/light carnation,1988,lilac ice/light carnation,court lite canvas,nike
mens,white/caribbean blue/gold,1988,caribbean blue,internationalist,nike
mens,white/natural,1988,natural,bruin canvas,nike
womens,white/red/royal blue/white/powder blue,1988,red/powder blue,leather cortez light,nike
