WOMENS,White/Blue,1978,White/Blue,Racquette (Leather),NIKE
WOMENS,White/Black,1978,White/Black,Greco (Cotton Mesh),NIKE
MENS,White/Black,1978,White/Black,Blazer Hi Top (Leather),NIKE
WOMENS,White/Blue,1978,White/Blue,Racqueete II (Canvas),NIKE
MENS,Red/Silver,1978,Red/Silver,Special Nylon Cortez,NIKE
WOMENS,Taupe/Black,1978,Taupe/Black,Lady Oceania (Nylon),NIKE
WOMENS,White/Navy,1978,White/Navy,Lady All Court (Canvas),NIKE
MENS,Blue/Yellow,1978,Blue/Yellow,Waffle Trainer (Nylon),NIKE
MENS,Green/White,1978,Green/White,Blazer Hi Top (Suede),NIKE
MENS,Green/Blue,1978,Green/Blue,Roadrunner (Nylon),NIKE
MENS,Yellow/Green/Red,1978,Yellow/Green/Red,Vainqueur (Nylon),NIKE
MENS,Burgundy/White,1978,Burgundy/White,Bruin (Suede),NIKE
MENS,Cobalt/Navy/White,1979,Blue,Bermuda,NIKE
MENS,White/Black,1979,Black,All Court Lo,NIKE
MENS,Grey/Blue/Red,1980,Grey,ZX 320,ADIDAS
MENS,Navy/Orange/Red,1980,Orange,Mariah,NIKE
MENS,White/Black/Tuequoise,1980,Turquoise,Association,ADIDAS
MENS,White/green,1980,White/green,London,KARHU
MENS,Light/Navy,1980,Blue,Eagle,NIKE
MENS,Red/Grey,1980,Red,Eagle,NIKE
WOMENS,,1980,Green,Masquerade,PUMA
MENS,White/Red,1980,White Canvas,All Court,NIKE
MENS,White/Blue,1980,Blue,Avenue,PUMA
MENS,Grey/Black/Silver,1980,Grey,Squire,ADIDAS
MENS,White/Blue,1980,Blue,Hot Shot,ADIDAS
MENS,Black/Purple/Green,1980,Purple,Parma,PUMA
MENS,Red/Yellow,1981,Red,Athletics West,NIKE
MENS,WHITE/GREY,1982,Original Edition Air Force 1,Air Force 1,NIKE
MENS,WHITE/GREY,1982,Original Edition Air Force 1,Air Force 1,NIKE
MENS,White/Navy,1983,Navy,Sampson Hi,PUMA
MENS,Blue/silver,1983,Blue/silver,Albatross,KARHU
MENS,White/Red,1983,Red,Fast Break,CONVERSE
MENS,Grey/Navy,1983,Grey/Navy,Snowjogger,KARHU
MENS,Deep Red/Indigo/White/Silver/Black,1983,Deep Red/Indigo ,California,Patrick
WOMENS,Pink/White,1983,Pink,1805,PUMA
MENS,Black/Varsity Red/Blue/White/Orange,1983,Black/Varsity Red/Blue,Special Cross,Patrick
MENS,White/Metallic Silver,1984,Metallic Silver,Starion 84,CONVERSE
MENS,Grey/Red,1984,Grey,Spirit Of The Games,ADIDAS
MENS,Grey/Cobalt Blue,1984,Blue,Columbia,NIKE
MENS,Blue/White,1984,Blue,Boston,ADIDAS
MENS,White/Red/Black,1985,OG,Air Jordan 1,JORDAN
MENS,White/Blue/Silver,1985,Blue,Pursuit,NIKE
MENS,White/Purple/Yellow,1985,Purple,Air Jordan 1,JORDAN
MENS,Blue/White,1985,Blue,Top Jogger,PUMA
MENS,Yellow/Black,1986,Yellow,Sock Racer,NIKE
MENS,Grey/Silver,1986,Grey,Air Control,NIKE
MENS,Tan/Charcoal Black,1987,Tan,Air Safari,NIKE
