  julian_date mpsi  mwsi
  j870.247  2.2111981  0.9402877
  j871.252  1.6280620  0.3599966
  j872.295  1.7417580  0.2757604
  j874.304  2.1392610  0.3613634
  j875.298  2.6744831  0.5732574
  j876.425  2.1063380  0.3849374
  j877.365  1.9351960  0.3988672
  j880.205  2.1268930  0.3257265
  j882.274  1.6280410  0.2508209
  j886.246  2.4544330  1.2124161
  j887.419  2.4050860  1.2766640
  j888.248  2.7467771  1.2021430
  j891.254  2.3351860  0.4329041
  j892.298  2.5570271  0.2843106
  j894.221  2.9048951  0.3953624
  j899.271  2.2570729  0.2782321
  j900.474  2.2559400  0.1934763
  j901.230  2.6045740  0.5172261
  j902.456  2.0453510  0.3488244
  j903.229  2.0589881  0.5508857
  j904.311  1.9346640  0.9073446
  j905.280  2.6312270  2.1345079
  j906.420  2.2019751  2.1442730
  j907.219  2.3666990  2.1846499
  j908.436  2.3175399  1.4791020
  j909.226  2.7312641  1.8864310
  j910.272  2.4410391  1.2033720
  j912.250  2.2268031  0.5384060
  j913.223  1.9179190  0.3211097
  j914.247  2.1025331  0.3881662
  j924.474  2.9389570  0.7385402
  j926.272  2.4342849  0.3937922
  j928.461  2.3778181  0.6570719
  j929.262  2.0519400  0.4800844
  j931.235  3.5192349  1.4979370
  j932.449  2.3256280  0.4606183
  j933.221  2.1407220  0.1779425
  j934.284  2.4009631  0.2663202
  j935.299  2.3834710  0.1307055
  j949.346  1.2804170  0.1366955
  j950.249  1.1924810  0.2456661
  j952.455  1.7007600  0.6069282
  j953.424  1.8980310  0.5269285
  j955.301  2.3580630  0.2205965
  j956.254  2.0932760  0.2174079
  j957.249  2.2365360  0.5398078
  j967.267  1.7594600  0.3671858
  j969.258  1.6929590  0.6216819
  j970.255  1.9784549  0.8689517
  j971.270  2.2422590  1.1030070
  j972.249  2.2947440  1.1061341
  j973.457  2.9106159  1.8360060
  j974.276  2.2697780  1.3551630
  j975.350  2.2387030  1.4820230
  j976.302  2.2187121  1.2606990
  j977.321  2.1371360  1.0831270
  j978.224  1.9619850  0.8055621
  j979.293  1.3249290  0.3727602
  j981.292  1.5626770  0.9690775
  j985.420  1.8523660  0.8739103
  j986.267  2.1677899  0.6584369
  j987.267  2.0029590  0.6709276
  j988.363  2.1136200  0.7435274
  j989.324  2.8261459  0.9824735
  j990.266  2.2541599  0.4355931
  j991.272  1.2896791  0.1514746
  j992.245  1.1349930  0.1351046
  j993.245  0.9337709  0.0554445
  j994.220  0.7242600  0.0097092
  j995.406  1.0575520  0.0193519
  j996.245  0.9496821  0.0114927
  j997.280  1.3453040  0.1011057
 j1003.438  2.1808281  0.5761477
 j1004.229  2.0094111  0.6084661
 j1005.220  1.9425620  0.6805125
 j1007.215  1.8505130  0.8620445
 j1008.226  1.8933910  0.7517959
 j1009.214  1.7765340  0.5417020
 j1010.417  2.0828331  0.4975169
 j1013.229  1.4739680  0.2799810
