 970515  6345.50  1365.5428
 970516  6346.50  1365.5790
 970517  6347.50  1365.5562
 970518  6348.50  1365.4889
 970519  6349.50  1365.4416
 970520  6350.50  1365.4451
 970521  6351.50  1365.3840
 970522  6352.50  1365.4568
 970523  6353.50  1365.5615
 970524  6354.50  1365.6238
 970525  6355.50  1365.6785
 970526  6356.50  1365.6943
 970527  6357.50  1365.6924
 970528  6358.50  1365.7011
 970529  6359.50  1365.7422
 970530  6360.50  1365.7766
 970531  6361.50  1365.7635
 970601  6362.50  1365.7054
 970602  6363.50  1365.6160
 970603  6364.50  1365.5256
 970604  6365.50  1365.5133
 970605  6366.50  1365.5295
 970606  6367.50  1365.5368
 970607  6368.50  1365.5342
 970608  6369.50  1365.5261
 970609  6370.50  1365.4918
 970610  6371.50  1365.4646
 970611  6372.50  1365.4799
 970612  6373.50  1365.4804
 970613  6374.50  1365.4901
 970614  6375.50  1365.4677
 970615  6376.50  1365.4795
 970616  6377.50  1365.4682
 970617  6378.50  1365.5171
 970618  6379.50  1365.5780
 970619  6380.50  1365.5320
 970620  6381.50  1365.5439
 970621  6382.50  1365.5362
 970622  6383.50  1365.5504
 970623  6384.50  1365.5193
 970624  6385.50  1365.5166
 970625  6386.50  1365.4894
 970626  6387.50  1365.5320
 970627  6388.50  1365.5906
 970628  6389.50  1365.6122
 970629  6390.50  1365.6005
 970630  6391.50  1365.5569
 970701  6392.50  1365.5500
 970702  6393.50  1365.5428
 970703  6394.50  1365.5002
 970704  6395.50  1365.4875
 970705  6396.50  1365.5045
 970706  6397.50  1365.4522
 970707  6398.50  1365.4577
 970708  6399.50  1365.4839
 970709  6400.50  1365.4815
 970710  6401.50  1365.4829
 970711  6402.50  1365.4549
 970712  6403.50  1365.4411
 970713  6404.50  1365.4383
 970714  6405.50  1365.4169
 970715  6406.50  1365.4350
 970716  6407.50  1365.4662
 970717  6408.50  1365.5268
 970718  6409.50  1365.5428
 970719  6410.50  1365.5602
 970720  6411.50  1365.5671
 970721  6412.50  1365.5493
 970722  6413.50  1365.5505
 970723  6414.50  1365.5292
 970724  6415.50  1365.5509
 970725  6416.50  1365.5572
 970726  6417.50  1365.6942
 970727  6418.50  1365.6487
 970728  6419.50  1365.5978
 970729  6420.50  1365.5707
 970730  6421.50  1365.5315
 970731  6422.50  1365.5063
 970801  6423.50  1365.5160
 970802  6424.50  1365.4688
 970803  6425.50  1365.5178
 970804  6426.50  1365.4587
 970805  6427.50  1365.4598
 970806  6428.50  1365.4679
 970807  6429.50  1365.5266
 970808  6430.50  1365.5403
 970809  6431.50  1365.5276
 970810  6432.50  1365.5302
 970811  6433.50  1365.5624
 970812  6434.50  1365.5714
 970813  6435.50  1365.6091
 970814  6436.50  1365.6204
 970815  6437.50  1365.5802
 970816  6438.50  1365.5446
 970817  6439.50  1365.5328
 970818  6440.50  1365.5271
 970819  6441.50  1365.5275
 970820  6442.50  1365.5111
 970821  6443.50  1365.5380
 970822  6444.50  1365.5326
 970823  6445.50  1365.5680
 970824  6446.50  1365.6506
 970825  6447.50  1365.7029
 970826  6448.50  1365.6909
 970827  6449.50  1365.6532
 970828  6450.50  1365.5208
 970829  6451.50  1365.4486
 970830  6452.50  1365.4543
 970831  6453.50  1365.5124
 970901  6454.50  1365.6455
 970902  6455.50  1365.7369
 970903  6456.50  1365.8514
 970904  6457.50  1365.8474
 970905  6458.50  1365.6286
 970906  6459.50  1365.4037
 970907  6460.50  1365.2591
 970908  6461.50  1365.0718
 970909  6462.50  1364.8213
 970910  6463.50  1364.7705
 970911  6464.50  1364.9281
 970912  6465.50  1365.0361
 970913  6466.50  1365.2194
 970914  6467.50  1365.4226
 970915  6468.50  1365.4457
 970916  6469.50  1365.5366
 970917  6470.50  1365.5433
 970918  6471.50  1365.5138
 970919  6472.50  1365.4968
 970920  6473.50  1365.6087
 970921  6474.50  1365.6985
 970922  6475.50  1365.7652
 970923  6476.50  1365.7305
 970924  6477.50  1365.5850
 970925  6478.50  1365.5205
 970926  6479.50  1365.5706
 970927  6480.50  1365.6168
 970928  6481.50  1365.7213
 970929  6482.50  1365.8037
 970930  6483.50  1365.8753
 971001  6484.50  1365.8769
 971002  6485.50  1365.8548
 971003  6486.50  1365.8319
 971004  6487.50  1365.7781
 971005  6488.50  1365.8631
 971006  6489.50  1365.9062
 971007  6490.50  1365.9288
 971008  6491.50  1365.9510
 971009  6492.50  1365.9805
 971010  6493.50  1365.9234
 971011  6494.50  1365.8840
