time,mg_index
2450450.0,0.26437
2450451.0,0.26418
2450452.0,0.26476
2450453.0,0.26496
2450454.0,0.26476
2450455.0,0.26496
2450456.0,0.26554
2450457.0,0.26496
2450458.0,0.26554
2450459.0,0.26564
2450460.0,0.26535
2450461.0,0.26505
2450462.0,0.26554
2450463.0,0.26525
2450464.0,0.26574
2450465.0,0.26544
2450466.0,0.26515
2450467.0,0.26535
2450468.0,0.26535
2450469.0,0.26476
2450470.0,0.26457
2450471.0,0.26388
2450472.0,0.26447
2450473.0,0.26418
2450474.0,0.26447
2450475.0,0.26457
2450476.0,0.26418
2450477.0,0.26486
2450478.0,0.26496
2450479.0,0.26505
2450480.0,0.26505
2450481.0,0.26486
2450482.0,0.26554
2450483.0,0.26544
2450484.0,0.26564
2450485.0,0.26535
2450486.0,0.26584
2450487.0,0.26535
2450488.0,0.26525
2450489.0,0.26515
2450490.0,0.26554
2450491.0,0.26505
2450492.0,0.26505
2450493.0,0.26476
2450494.0,0.26505
2450495.0,0.26457
2450496.0,0.26388
2450497.0,0.26486
2450498.0,0.26457
2450499.0,0.26369
2450500.0,0.26379
2450501.0,0.26437
2450502.0,0.26466
2450503.0,0.26457
2450504.0,0.26515
2450505.0,0.26515
2450506.0,0.26515
2450507.0,0.26554
2450508.0,0.26437
2450509.0,0.26496
2450510.0,0.26486
2450511.0,0.26466
2450512.0,0.26525
2450513.0,0.26476
2450514.0,0.26525
2450515.0,0.26544
2450516.0,0.26554
2450517.0,0.26535
2450518.0,0.26535
2450519.0,0.26544
2450520.0,0.26554
2450521.0,0.26564
2450522.0,0.26574
2450523.0,0.26496
2450524.0,0.26486
2450525.0,0.26505
2450526.0,0.26427
2450527.0,0.26408
2450528.0,0.26379
2450529.0,0.26447
2450530.0,0.26398
2450531.0,0.26437
2450532.0,0.26398
2450533.0,0.26398
2450534.0,0.26427
2450535.0,0.26505
2450536.0,0.26486
2450537.0,0.26447
2450538.0,0.26437
2450539.0,0.26476
2450540.0,0.26496
2450541.0,0.26603
2450542.0,0.26574
2450543.0,0.26564
2450544.0,0.26535
2450545.0,0.26505
2450546.0,0.26593
2450547.0,0.26584
2450548.0,0.26544
2450549.0,0.26564
2450550.0,0.26525
2450551.0,0.26505
2450552.0,0.26505
2450553.0,0.26486
2450554.0,0.26427
