time,LymanAlpha,type
2000298,5.50,1
2000299,5.59,1
2000300,5.56,1
2000301,5.48,1
2000302,5.48,1
2000303,5.55,1
2000304,5.64,1
2000305,5.75,1
2000306,5.86,1
2000307,5.96,1
2000308,5.84,1
2000309,5.84,1
2000310,5.65,1
2000311,5.69,1
2000312,5.42,1
2000313,5.34,5
2000314,5.14,5
2000315,5.09,5
2000316,5.04,5
2000317,5.02,5
2000318,5.01,5
2000319,5.01,5
2000320,5.04,5
2000321,5.07,5
2000322,5.13,5
2000323,5.27,1
2000324,5.46,1
2000325,5.60,1
2000326,5.67,1
2000327,5.75,1
2000328,5.75,1
2000329,5.83,1
2000330,5.90,1
2000331,6.13,1
2000332,6.23,1
2000333,6.20,1
2000334,6.12,1
2000335,6.08,1
2000336,6.16,1
2000337,6.15,1
2000338,6.05,1
2000339,5.60,1
2000340,5.22,1
2000341,4.89,1
2000342,4.78,1
2000343,4.85,1
2000344,4.92,1
2000345,5.03,1
2000346,5.03,1
2000347,5.11,1
2000348,5.26,1
2000349,5.44,1
2000350,5.60,1
2000351,5.77,1
2000352,5.79,1
2000353,5.76,1
2000354,5.60,1
2000355,5.44,1
2000356,5.52,1
2000357,5.68,1
2000358,5.94,1
2000359,5.94,1
2000360,5.94,1
2000361,5.90,1
2000362,5.82,1
2000363,5.71,1
2000364,5.61,1
2000365,5.54,1
2000366,5.50,1
2001001,5.16,5
2001002,5.19,5
2001003,5.14,5
2001004,5.17,5
2001005,5.18,5
2001006,5.19,5
2001007,5.17,5
2001008,5.10,5
2001009,5.09,5
2001010,5.06,5
2001011,5.08,5
2001012,5.16,5
2001013,5.19,5
2001014,5.14,5
2001015,5.10,5
2001016,5.05,5
2001017,4.98,5
2001018,4.98,5
2001019,4.98,5
2001020,4.99,5
2001021,4.97,5
2001022,5.05,5
2001023,5.08,5
2001024,5.11,5
2001025,5.08,5
2001026,5.06,5
2001027,5.07,5
2001028,5.07,5
2001029,5.05,5
2001030,5.01,5
2001031,4.97,5
2001032,5.02,5
2001033,5.05,5
2001034,5.03,5
2001035,4.92,5
2001036,5.03,5
2001037,5.06,5
2001038,5.02,5
2001039,4.96,5
2001040,5.00,5
2001041,4.99,5
2001042,4.93,5
2001043,4.89,5
2001044,4.87,5
2001045,4.85,5
2001046,4.84,5
2001047,4.81,5
2001048,4.81,5
2001049,4.84,5
2001050,4.88,5
2001051,4.95,5
2001052,4.94,5
2001053,4.96,5
2001054,4.96,5
2001055,4.91,5
2001056,4.89,5
2001057,4.90,5
2001058,4.87,5
2001059,4.88,5
2001060,4.88,5
2001061,4.87,5
2001062,4.94,5
2001063,4.95,5
2001064,5.05,5
2001065,5.06,5
2001066,5.19,5
2001067,5.12,5
2001068,5.08,5
2001069,5.07,5
2001070,5.06,5
2001071,5.06,5
2001072,4.99,5
2001073,4.96,5
2001074,4.92,5
2001075,4.95,5
2001076,4.91,5
2001077,4.96,5
2001078,5.01,5
2001079,5.06,5
2001080,5.11,5
2001081,5.27,5
2001082,5.25,5
2001083,5.49,5
2001084,5.48,5
2001085,5.75,5
2001086,5.80,5
2001087,5.80,5
2001088,5.74,5
2001089,5.72,5
2001090,5.66,5
2001091,5.72,5
2001092,5.56,5
2001093,5.53,5
2001094,5.43,5
2001095,5.44,5
2001096,5.35,5
2001097,5.27,5
2001098,5.21,5
2001099,5.18,5
2001100,5.21,5
2001101,5.15,5
2001102,5.08,5
2001103,4.99,5
2001104,5.01,5
2001105,4.98,5
2001106,4.90,5
2001107,4.92,5
2001108,4.96,5
2001109,5.05,5
2001110,5.29,5
2001111,5.36,5
2001112,5.37,5
2001113,5.39,5
2001114,5.38,5
2001115,5.38,5
2001116,5.40,5
2001117,5.37,5
2001118,5.35,5
2001119,5.38,5
2001120,5.36,5
2001121,5.34,5
2001122,5.29,5
2001123,5.26,5
2001124,5.28,5
2001125,5.18,5
2001126,5.14,5
2001127,5.01,5
2001128,4.94,5
2001129,4.94,5
2001130,4.94,5
2001131,4.99,5
2001132,5.00,5
2001133,5.00,5
2001134,4.99,5
2001135,5.02,5
2001136,4.99,5
2001137,5.06,5
2001138,4.99,5
2001139,5.01,5
2001140,5.01,5
2001141,5.07,5
2001142,5.08,5
2001143,5.13,5
2001144,5.21,5
2001145,5.15,5
2001146,5.05,5
2001147,5.05,5
2001148,5.02,5
2001149,4.98,5
2001150,4.94,5
2001151,4.94,5
2001152,4.93,5
2001153,4.94,5
2001154,5.02,5
2001155,5.07,5
2001156,5.07,5
2001157,5.09,5
2001158,5.14,5
2001159,5.24,5
2001160,5.21,5
2001161,5.11,5
2001162,5.11,5
2001163,5.13,5
2001164,5.23,5
2001165,5.31,5
2001166,5.32,5
2001167,5.39,5
2001168,5.37,5
2001169,5.47,5
2001170,5.31,5
2001171,5.33,5
2001172,5.33,5
2001173,5.35,5
2001174,5.37,5
2001175,5.30,5
2001176,5.22,5
2001177,5.12,5
2001178,4.99,5
2001179,4.93,5
2001180,4.93,5
2001181,4.91,5
2001182,4.90,5
2001183,4.89,5
2001184,4.88,5
2001185,4.84,5
2001186,4.78,5
2001187,4.75,5
2001188,4.76,5
2001189,4.83,5
2001190,4.86,5
2001191,4.86,5
2001192,4.88,5
2001193,4.90,5
2001194,4.89,5
2001195,4.95,5
2001196,4.96,5
2001197,5.02,5
2001198,5.00,5
2001199,4.98,5
2001200,4.97,5
2001201,4.98,5
2001202,4.95,5
2001203,4.97,5
2001204,4.99,5
2001205,4.91,5
2001206,4.91,5
2001207,4.84,5
2001208,4.82,5
2001209,4.78,5
2001210,4.79,5
2001211,4.77,5
2001212,4.79,5
2001213,4.82,5
2001214,4.83,5
2001215,4.92,5
2001216,5.04,5
2001217,5.10,5
2001218,5.16,5
2001219,5.18,5
2001220,5.19,5
2001221,5.17,5
2001222,5.15,5
2001223,5.19,5
2001224,5.17,5
2001225,5.12,5
2001226,5.10,5
2001227,5.11,5
2001228,5.09,5
2001229,5.12,5
2001230,5.21,5
2001231,5.23,5
2001232,5.23,5
2001233,5.26,5
2001234,5.28,5
2001235,5.34,5
2001236,5.38,5
2001237,5.53,5
2001238,5.48,5
2001239,5.49,5
2001240,5.54,5
2001241,5.53,5
2001242,5.55,5
2001243,5.48,5
2001244,5.45,5
2001245,5.45,5
2001246,5.55,5
2001247,5.68,5
2001248,5.68,5
2001249,5.71,5
2001250,5.74,5
2001251,5.88,5
2001252,5.82,5
2001253,5.87,5
2001254,5.91,5
2001255,5.84,5
2001256,5.87,5
2001257,5.86,5
2001258,5.76,5
2001259,5.69,5
2001260,5.65,5
2001261,5.68,5
2001262,5.66,5
2001263,5.83,5
2001264,5.90,5
2001265,5.99,5
2001266,6.01,5
2001267,6.13,5
2001268,6.11,5
2001269,6.16,5
2001270,6.10,5
2001271,6.18,5
2001272,5.95,5
2001273,5.93,5
2001274,5.83,5
2001275,5.74,5
2001276,5.68,5
2001277,5.65,5
2001278,5.59,5
2001279,5.61,5
2001280,5.56,5
2001281,5.55,5
2001282,5.59,5
2001283,5.60,5
2001284,5.57,5
2001285,5.60,5
2001286,5.60,5
2001287,5.67,5
2001288,5.68,5
2001289,5.76,5
2001290,5.81,5
2001291,5.87,5
2001292,5.98,5
2001293,5.96,5
2001294,5.84,5
2001295,5.88,5
2001296,5.85,5
2001297,5.91,5
2001298,5.91,5
2001299,5.90,5
2001300,5.96,5
2001301,5.85,5
2001302,5.78,5
2001303,5.84,5
2001304,5.81,5
2001305,5.89,5
2001306,5.76,5
2001307,5.77,5
2001308,5.83,5
2001309,5.87,5
2001310,5.88,5
2001311,6.04,5
2001312,5.92,5
2001313,6.04,5
2001314,5.91,5
2001315,5.84,5
2001316,5.81,5
2001317,5.83,5
2001318,5.76,5
2001319,5.70,5
2001320,5.68,5
2001321,5.66,5
2001322,5.61,5
2001323,5.63,5
2001324,5.60,5
2001325,5.59,5
2001326,5.63,5
2001327,5.56,5
2001328,5.53,5
2001329,5.51,5
2001330,5.54,5
2001331,5.64,5
2001332,5.68,5
2001333,5.79,5
2001334,5.84,5
2001335,5.81,5
2001336,5.94,5
2001337,5.89,5
2001338,5.88,5
2001339,5.90,5
2001340,5.95,5
2001341,5.83,5
2001342,5.80,5
2001343,5.82,5
2001344,5.79,5
2001345,5.80,5
2001346,5.88,5
2001347,5.79,5
2001348,5.77,5
2001349,5.78,5
2001350,5.73,5
2001351,5.71,5
2001352,5.74,5
2001353,5.72,5
2001354,5.80,5
2001355,5.87,5
2001356,5.92,5
2001357,5.98,5
2001358,6.09,5
2001359,6.01,5
2001360,6.05,5
2001361,6.09,5
2001362,6.03,5
2001363,6.04,5
2001364,5.94,5
2001365,5.94,5
2002001,5.87,5
2002002,5.86,5
2002003,5.80,5
2002004,5.79,5
2002005,5.76,5
2002006,5.67,5
2002007,5.62,5
2002008,5.69,5
2002009,5.85,5
2002010,5.83,5
2002011,5.85,5
2002012,5.87,5
2002013,5.91,5
2002014,5.84,5
2002015,5.78,5
2002016,5.77,5
2002017,5.74,5
2002018,5.73,5
2002019,5.75,5
2002020,5.80,5
2002021,5.81,5
2002022,5.83,5
2002023,5.81,5
2002024,5.83,5
2002025,5.85,5
2002026,5.97,5
2002027,5.92,5
2002028,5.98,5
2002029,5.99,5
2002030,5.96,5
2002031,5.88,5
2002032,5.90,5
2002033,5.86,5
2002034,5.81,5
2002035,5.82,5
2002036,5.73,5
2002037,5.62,5
2002038,5.55,5
2002039,5.54,5
2002040,5.59,5
2002041,5.68,5
2002042,5.59,5
2002043,5.63,5
2002044,5.60,5
2002045,5.55,5
2002046,5.54,5
2002047,5.53,5
2002048,5.55,5
2002049,5.53,5
2002050,5.50,5
2002051,5.53,5
2002052,5.57,5
2002053,5.52,5
2002054,5.49,5
2002055,5.52,5
2002056,5.63,5
2002057,5.61,5
2002058,5.56,5
2002059,5.59,5
2002060,5.49,5
2002061,5.51,5
2002062,5.46,5
2002063,5.41,5
2002064,5.39,5
2002065,5.43,5
2002066,5.44,5
2002067,5.42,5
2002068,5.61,5
2002069,5.43,5
2002070,5.44,5
2002071,5.41,5
2002072,5.44,5
2002073,5.42,5
2002074,5.38,5
2002075,5.43,5
2002076,5.43,5
2002077,5.38,5
2002078,5.36,5
2002079,5.44,5
2002080,5.35,5
2002081,5.33,5
2002082,5.32,5
2002083,5.35,5
2002084,5.32,5
2002085,5.29,5
2002086,5.31,5
2002087,5.36,5
2002088,5.39,5
2002089,5.44,5
2002090,5.54,5
2002091,5.56,5
2002092,5.55,5
2002093,5.57,5
2002094,5.61,5
2002095,5.62,5
2002096,5.55,5
2002097,5.55,5
2002098,5.54,5
2002099,5.53,5
2002100,5.47,5
2002101,5.49,5
2002102,5.58,5
2002103,5.66,5
2002104,5.57,5
2002105,5.53,5
2002106,5.49,5
2002107,5.47,5
2002108,5.44,5
2002109,5.39,5
2002110,5.37,5
2002111,5.35,5
2002112,5.33,5
2002113,5.36,5
2002114,5.37,5
2002115,5.31,5
2002116,5.28,5
2002117,5.24,5
2002118,5.17,5
2002119,5.21,5
2002120,5.21,5
2002121,5.27,5
2002122,5.31,5
2002123,5.38,5
2002124,5.44,5
2002125,5.38,5
2002126,5.45,5
2002127,5.42,5
2002128,5.42,5
2002129,5.44,5
2002130,5.44,5
2002131,5.42,5
2002132,5.38,5
2002133,5.30,5
2002134,5.22,5
2002135,5.21,5
2002136,5.20,5
2002137,5.18,5
2002138,5.22,5
2002139,5.27,5
2002140,5.26,5
2002141,5.36,5
2002142,5.32,5
2002143,5.31,5
2002144,5.36,5
2002145,5.32,5
2002146,5.32,5
2002147,5.33,5
2002148,5.33,5
2002149,5.31,5
2002150,5.28,5
2002151,5.29,5
2002152,5.27,5
2002153,5.24,5
2002154,5.20,5
2002155,5.20,5
2002156,5.12,5
2002157,5.09,5
2002158,5.12,5
2002159,5.10,5
2002160,5.12,5
2002161,5.08,5
2002162,5.06,5
2002163,5.02,5
2002164,4.96,5
2002165,4.94,5
2002166,4.98,5
2002167,4.99,5
2002168,5.04,5
2002169,5.05,5
2002170,5.07,5
2002171,5.07,5
2002172,5.03,5
2002173,5.05,5
2002174,5.06,5
2002175,5.11,5
2002176,5.07,5
2002177,5.06,5
2002178,5.02,5
2002179,5.01,5
2002180,5.05,5
2002181,5.07,5
2002182,5.08,5
2002183,5.08,5
2002184,5.08,5
2002185,5.07,5
2002186,5.01,5
2002187,4.98,5
2002188,5.00,5
2002189,4.96,5
2002190,5.01,5
2002191,4.95,5
2002192,5.02,5
2002193,5.00,5
2002194,5.01,5
2002195,5.08,5
2002196,5.20,5
2002197,5.28,5
2002198,5.34,5
2002199,5.34,5
2002200,5.35,5
2002201,5.37,5
2002202,5.36,5
2002203,5.40,5
2002204,5.46,5
2002205,5.53,5
2002206,5.59,5
2002207,5.73,5
2002208,5.67,5
2002209,5.72,5
2002210,5.69,5
2002211,5.66,5
2002212,5.55,5
2002213,5.40,5
2002214,5.39,5
2002215,5.31,5
2002216,5.19,5
2002217,5.13,5
2002218,5.16,5
2002219,5.10,5
2002220,5.09,5
2002221,5.13,5
2002222,5.20,5
2002223,5.36,5
2002224,5.44,5
2002225,5.49,5
2002226,5.59,5
2002227,5.60,5
2002228,5.63,5
2002229,5.70,5
2002230,5.79,5
2002231,5.76,5
2002232,5.71,5
2002233,5.66,5
2002234,5.66,5
2002235,5.69,5
2002236,5.51,5
2002237,5.40,5
2002238,5.34,5
2002239,5.28,5
2002240,5.29,5
2002241,5.33,5
2002242,5.34,5
2002243,5.40,5
2002244,5.40,5
2002245,5.35,5
2002246,5.33,5
2002247,5.33,5
2002248,5.35,5
2002249,5.36,5
2002250,5.39,5
2002251,5.44,5
2002252,5.52,5
2002253,5.60,5
2002254,5.58,5
2002255,5.55,5
2002256,5.51,5
2002257,5.52,5
2002258,5.40,5
2002259,5.37,5
2002260,5.44,5
2002261,5.33,5
2002262,5.26,5
2002263,5.25,5
2002264,5.21,5
2002265,5.22,5
2002266,5.17,5
2002267,5.19,5
2002268,5.16,5
2002269,5.13,5
2002270,5.14,5
2002271,5.11,5
2002272,5.03,5
2002273,5.04,5
2002274,5.04,5
2002275,5.00,5
2002276,5.07,5
2002277,5.15,5
2002278,5.13,5
2002279,5.18,5
2002280,5.19,5
2002281,5.21,5
2002282,5.22,5
2002283,5.25,5
2002284,5.29,5
2002285,5.30,5
2002286,5.28,5
2002287,5.29,5
2002288,5.26,5
2002289,5.30,5
2002290,5.27,5
2002291,5.22,5
2002292,5.26,5
2002293,5.26,5
2002294,5.27,5
2002295,5.17,5
2002296,5.13,5
2002297,5.10,5
2002298,5.18,5
2002299,5.07,5
2002300,5.06,5
2002301,5.07,5
2002302,5.09,5
2002303,5.12,5
2002304,5.14,5
2002305,5.08,5
2002306,5.10,5
2002307,5.13,5
2002308,5.18,5
2002309,5.22,5
2002310,5.24,5
2002311,5.27,5
2002312,5.27,5
2002313,5.28,5
2002314,5.29,5
2002315,5.25,5
2002316,5.22,5
2002317,5.24,5
2002318,5.25,5
2002319,5.33,5
2002320,5.34,5
2002321,5.24,5
2002322,5.20,5
2002323,5.13,5
2002324,5.06,5
2002325,4.99,5
2002326,4.98,5
2002327,4.96,5
2002328,4.94,5
2002329,4.87,5
2002330,4.91,5
2002331,4.91,5
2002332,4.89,5
2002333,4.90,5
2002334,4.93,5
2002335,4.95,5
2002336,4.93,5
2002337,4.93,5
2002338,4.95,5
2002339,4.95,5
2002340,4.94,5
2002341,4.96,5
2002342,4.98,5
2002343,4.99,5
2002344,5.02,5
2002345,4.96,5
2002346,4.96,5
2002347,5.05,5
2002348,5.17,5
2002349,5.27,5
2002350,5.26,5
2002351,5.31,5
2002352,5.21,5
2002353,5.18,5
2002354,5.20,5
2002355,5.11,5
2002356,5.03,5
2002357,4.94,5
2002358,4.86,5
2002359,4.74,5
2002360,4.70,5
2002361,4.61,5
2002362,4.61,5
2002363,4.59,5
2002364,4.58,5
2002365,4.59,5
2003001,5.11,6
2003002,5.12,6
2003003,5.14,6
2003004,5.15,6
2003005,5.13,6
2003006,5.13,6
2003007,5.16,6
2003008,5.14,6
2003009,5.28,6
2003010,5.35,6
2003011,5.48,6
2003012,5.55,6
2003013,5.49,6
2003014,5.55,6
2003015,5.52,6
2003016,5.56,6
2003017,5.42,6
2003018,5.30,6
2003019,5.12,6
2003020,4.98,6
2003021,4.96,6
2003022,4.97,6
2003023,5.02,6
2003024,5.07,6
2003025,5.02,6
2003026,5.06,6
2003027,5.05,6
2003028,5.13,6
2003029,5.11,6
2003030,5.01,6
2003031,4.94,6
2003032,4.88,6
2003033,4.79,6
2003034,4.74,6
2003035,4.77,6
2003036,4.96,6
2003037,5.15,6
2003038,5.23,6
2003039,5.29,6
2003040,5.30,6
2003041,5.24,6
2003042,5.26,6
2003043,5.20,6
2003044,5.12,6
2003045,4.97,6
2003046,4.83,6
2003047,4.78,6
2003048,4.61,6
2003049,4.66,6
2003050,4.69,6
2003051,4.66,6
2003052,4.64,6
2003053,4.58,6
2003054,4.59,6
2003055,4.66,6
2003056,4.68,6
2003057,4.65,6
2003058,4.62,6
2003059,4.64,6
2003060,4.73,6
2003061,4.84,6
2003062,4.95,6
2003063,5.14,6
2003064,5.26,6
2003065,5.38,6
2003066,5.48,6
2003067,5.49,6
2003068,5.46,6
2003069,5.35,6
2003070,5.28,6
2003071,5.06,6
2003072,4.87,6
2003073,4.78,6
2003074,4.70,6
2003075,4.62,6
2003076,4.52,6
2003077,4.52,6
2003078,4.46,6
2003079,4.37,6
2003080,4.32,6
2003081,4.28,6
2003082,4.35,6
2003083,4.37,6
2003084,4.47,6
2003085,4.63,6
2003086,4.69,6
2003087,4.81,6
2003088,4.97,6
2003089,5.00,6
2003090,5.13,6
2003091,5.13,6
2003092,5.11,6
2003093,5.06,6
2003094,4.99,6
2003095,4.88,6
2003096,4.74,6
2003097,4.59,6
2003098,4.52,6
2003099,4.43,6
2003100,4.36,6
2003101,4.37,6
2003102,4.33,6
2003103,4.34,6
2003104,4.38,6
2003105,4.39,6
2003106,4.40,6
2003107,4.48,6
2003108,4.51,6
2003109,4.54,6
2003110,4.66,6
2003111,4.70,6
2003112,4.84,6
2003113,4.88,6
2003114,4.93,6
2003115,4.95,6
2003116,5.02,6
2003117,5.11,6
2003118,5.07,6
2003119,5.10,6
2003120,4.96,6
2003121,4.83,6
2003122,4.74,6
2003123,4.70,6
2003124,4.62,6
2003125,4.50,6
2003126,4.38,6
2003127,4.27,6
2003128,4.16,6
2003129,4.14,6
2003130,4.18,6
2003131,4.24,6
2003132,4.27,6
2003133,4.30,6
2003134,4.34,7
2003135,4.36,7
2003136,4.41,7
2003137,4.47,7
2003138,4.58,7
2003139,4.66,7
2003140,4.69,7
2003141,4.74,6
2003142,4.88,6
2003143,4.84,7
2003144,4.85,7
2003145,4.84,7
2003146,4.83,7
2003147,4.84,7
2003148,4.79,7
2003149,4.76,7
2003150,4.68,7
2003151,4.68,7
2003152,4.41,7
2003153,4.30,7
2003154,4.24,7
2003155,4.18,7
2003156,4.24,7
2003157,4.36,7
2003158,4.44,7
2003159,4.50,7
2003160,4.63,7
2003161,4.73,7
2003162,4.84,7
2003163,4.84,7
2003164,4.69,7
2003165,4.64,7
2003166,4.60,7
2003167,4.56,7
2003168,4.55,7
2003169,4.58,7
2003170,4.62,7
2003171,4.63,7
2003172,4.59,7
2003173,4.54,7
2003174,4.57,7
2003175,4.55,7
2003176,4.50,7
2003177,4.51,7
2003178,4.54,7
2003179,4.55,7
2003180,4.54,7
2003181,4.62,7
2003182,4.63,7
2003183,4.70,7
2003184,4.77,7
2003185,4.77,7
2003186,4.76,7
2003187,4.79,7
2003188,4.79,7
2003189,4.81,7
2003190,4.78,7
2003191,4.67,7
2003192,4.62,7
2003193,4.59,7
2003194,4.65,7
2003195,4.66,7
2003196,4.71,7
2003197,4.70,7
2003198,4.73,7
2003199,4.80,7
2003200,4.90,7
2003201,4.92,7
2003202,4.90,7
2003203,4.85,7
2003204,4.74,7
2003205,4.53,7
2003206,4.42,7
2003207,4.37,7
2003208,4.41,7
2003209,4.47,7
2003210,4.49,7
2003211,4.48,7
2003212,4.55,7
2003213,4.53,7
2003214,4.60,7
2003215,4.65,7
2003216,4.65,7
2003217,4.66,7
2003218,4.56,7
2003219,4.53,7
2003220,4.47,7
2003221,4.48,7
2003222,4.56,7
2003223,4.58,7
2003224,4.63,7
2003225,4.60,7
2003226,4.59,7
2003227,4.59,7
2003228,4.58,7
2003229,4.55,7
2003230,4.55,7
2003231,4.54,7
2003232,4.52,7
2003233,4.49,7
2003234,4.56,7
2003235,4.59,7
2003236,4.67,7
2003237,4.66,7
2003238,4.77,7
2003239,4.78,7
2003240,4.80,7
2003241,4.76,7
2003242,4.71,7
2003243,4.72,7
2003244,4.68,7
2003245,4.57,7
2003246,4.50,7
2003247,4.48,7
2003248,4.50,7
2003249,4.48,7
2003250,4.50,7
2003251,4.46,7
2003252,4.47,7
2003253,4.38,7
2003254,4.36,7
2003255,4.31,7
2003256,4.33,7
2003257,4.31,7
2003258,4.31,7
2003259,4.28,7
2003260,4.29,7
2003261,4.37,7
2003262,4.41,7
2003263,4.53,7
2003264,4.55,7
2003265,4.57,7
2003266,4.65,7
2003267,4.74,7
2003268,4.79,7
2003269,4.84,7
2003270,4.84,7
2003271,4.81,7
2003272,4.75,7
2003273,4.64,7
2003274,4.65,7
2003275,4.59,7
2003276,4.60,7
2003277,4.56,7
2003278,4.60,7
2003279,4.57,7
2003280,4.57,7
2003281,4.55,7
2003282,4.57,7
2003283,4.58,7
2003284,4.58,7
2003285,4.43,7
2003286,4.38,7
2003287,4.32,7
2003288,4.31,7
2003289,4.29,7
2003290,4.40,7
2003291,4.48,7
2003292,4.59,7
2003293,4.57,7
2003294,4.61,7
2003295,4.66,7
2003296,4.71,7
2003297,4.74,7
2003298,4.80,7
2003299,4.92,7
2003300,5.10,7
2003301,5.30,7
2003302,5.26,7
2003303,5.27,7
2003304,5.23,7
2003305,5.12,7
2003306,4.95,7
2003307,4.77,7
2003308,4.60,7
2003309,4.47,7
2003310,4.39,7
2003311,4.27,7
2003312,4.20,7
2003313,4.18,7
2003314,4.09,7
2003315,4.08,7
2003316,4.09,7
2003317,4.09,7
2003318,4.18,7
2003319,4.23,7
2003320,4.27,7
2003321,4.33,7
2003322,4.45,7
2003323,4.58,7
2003324,4.76,7
2003325,4.86,7
2003326,4.90,7
2003327,4.96,7
2003328,5.01,7
2003329,5.05,7
2003330,5.05,7
2003331,5.07,7
2003332,5.08,7
2003333,5.02,7
2003334,4.99,7
2003335,4.85,7
2003336,4.75,7
2003337,4.58,7
2003338,4.53,7
2003339,4.37,7
2003340,4.24,7
2003341,4.13,7
2003342,4.09,7
2003343,3.98,7
2003344,3.97,7
2003345,3.96,7
2003346,3.99,7
2003347,3.99,7
2003348,4.02,7
2003349,4.10,7
2003350,4.20,7
2003351,4.29,7
2003352,4.48,7
2003353,4.58,7
2003354,4.69,7
2003355,4.75,7
2003356,4.85,7
2003357,4.91,7
2003358,4.94,7
2003359,4.96,7
2003360,4.90,7
2003361,4.78,7
2003362,4.63,7
2003363,4.50,7
2003364,4.38,7
2003365,4.26,7
2004001,4.22,7
2004002,4.16,7
2004003,4.15,7
2004004,4.10,7
2004005,4.20,7
2004006,4.10,7
2004007,4.17,7
2004008,4.14,7
2004009,4.13,7
2004010,4.08,7
2004011,4.09,7
2004012,4.13,7
2004013,4.20,7
2004014,4.30,7
2004015,4.40,7
2004016,4.49,7
2004017,4.64,7
2004018,4.69,7
2004019,4.80,7
2004020,4.87,7
2004021,4.92,7
2004022,4.83,7
2004023,4.72,7
2004024,4.59,7
2004025,4.43,7
2004026,4.28,7
2004027,4.19,7
2004028,4.05,7
2004029,4.06,7
2004030,4.06,7
2004031,4.06,7
2004032,4.08,7
2004033,4.11,7
2004034,4.15,7
2004035,4.19,7
2004036,4.16,7
2004037,4.15,7
2004038,4.17,7
2004039,4.21,7
2004040,4.27,7
2004041,4.32,7
2004042,4.40,7
2004043,4.44,7
2004044,4.51,7
2004045,4.58,7
2004046,4.60,7
2004047,4.60,7
2004048,4.59,7
2004049,4.50,7
2004050,4.46,7
2004051,4.40,7
2004052,4.35,7
2004053,4.30,7
2004054,4.26,7
2004055,4.22,7
2004056,4.21,7
2004057,4.22,7
2004058,4.15,7
2004059,4.16,7
2004060,4.15,7
2004061,4.15,7
2004062,4.08,7
2004063,4.03,7
2004064,4.03,7
2004065,4.01,7
2004066,4.05,7
2004067,4.06,7
2004068,4.12,7
2004069,4.17,7
2004070,4.22,7
2004071,4.27,7
2004072,4.35,7
2004073,4.43,7
2004074,4.45,7
2004075,4.60,6
2004076,4.40,7
2004077,4.42,7
2004078,4.37,7
2004079,4.35,7
2004080,4.37,7
2004081,4.41,7
2004082,4.40,7
2004083,4.39,7
2004084,4.42,7
2004085,4.43,7
2004086,4.45,7
2004087,4.45,7
2004088,4.39,7
2004089,4.32,7
2004090,4.27,7
2004091,4.23,7
2004092,4.18,7
2004093,4.19,7
2004094,4.18,7
2004095,4.27,7
2004096,4.30,7
2004097,4.28,7
2004098,4.32,7
2004099,4.28,7
2004100,4.23,7
2004101,4.18,7
2004102,4.21,7
2004103,4.26,7
2004104,4.29,7
2004105,4.30,7
2004106,4.32,7
2004107,4.31,7
2004108,4.36,7
2004109,4.39,7
2004110,4.43,7
2004111,4.43,7
2004112,4.44,7
2004113,4.46,7
2004114,4.42,7
2004115,4.37,7
2004116,4.30,7
2004117,4.24,7
2004118,4.18,7
2004119,4.13,7
2004120,4.09,7
2004121,4.10,7
2004122,4.19,6
2004123,4.20,7
2004124,4.18,7
2004125,4.18,7
2004126,4.17,7
2004127,4.13,7
2004128,4.11,7
2004129,4.12,7
2004130,4.17,7
2004131,4.21,7
2004132,4.20,7
2004133,4.21,7
2004134,4.27,7
2004135,4.30,7
2004136,4.34,7
2004137,4.31,7
2004138,4.34,7
2004139,4.31,7
2004140,4.28,7
2004141,4.23,7
2004142,4.26,7
2004143,4.23,7
2004144,4.25,7
2004145,4.23,7
2004146,4.20,7
2004147,4.19,7
2004148,4.13,7
2004149,4.12,7
2004150,4.10,7
2004151,4.12,7
2004152,4.08,7
2004153,4.08,7
2004154,4.11,7
2004155,4.18,7
2004156,4.20,7
2004157,4.20,7
2004158,4.21,7
2004159,4.21,7
2004160,4.17,7
2004161,4.13,7
2004162,4.10,7
2004163,4.05,7
2004164,4.05,7
2004165,4.03,7
2004166,4.07,7
2004167,4.14,7
2004168,4.20,7
2004169,4.25,7
2004170,4.24,7
2004171,4.27,7
2004172,4.28,7
2004173,4.29,7
2004174,4.29,7
2004175,4.26,7
2004176,4.22,7
2004177,4.17,7
2004178,4.14,7
2004179,4.10,7
2004180,4.09,7
2004181,4.07,7
2004182,4.06,7
2004183,4.05,7
2004184,4.05,7
2004185,4.04,7
2004186,4.09,7
2004187,4.04,7
2004188,3.94,7
2004189,3.93,7
2004190,3.93,7
2004191,3.90,7
2004192,3.92,7
2004193,4.04,7
2004194,4.20,7
2004195,4.34,7
2004196,4.39,7
2004197,4.48,7
2004198,4.50,7
2004199,4.48,7
2004200,4.54,7
2004201,4.59,7
2004202,4.63,7
2004203,4.52,7
2004204,4.56,7
2004205,4.38,7
2004206,4.31,7
2004207,4.29,7
2004208,4.20,7
2004209,4.06,7
2004210,3.99,7
2004211,3.89,7
2004212,3.85,7
2004213,3.89,7
2004214,3.94,7
2004215,3.92,7
2004216,3.94,7
2004217,3.93,7
2004218,3.97,7
2004219,3.99,7
2004220,4.08,7
2004221,4.11,7
2004222,4.21,7
2004223,4.27,7
2004224,4.33,7
2004225,4.39,7
2004226,4.47,7
2004227,4.58,7
2004228,4.52,7
2004229,4.47,7
2004230,4.46,7
2004231,4.36,7
2004232,4.28,7
2004233,4.25,7
2004234,4.25,7
