time,LymanAlpha,type
1997319,3.85,1
1997320,3.89,1
1997321,3.90,1
1997322,3.90,1
1997323,3.91,1
1997324,3.91,1
1997325,3.94,1
1997326,3.97,1
1997327,4.02,1
1997328,4.04,1
1997329,4.05,1
1997330,4.07,1
1997331,4.11,1
1997332,4.16,1
1997333,4.19,1
1997334,4.20,1
1997335,4.22,1
1997336,4.21,1
1997337,4.14,1
1997338,4.05,1
1997339,3.99,1
1997340,3.97,1
1997341,3.96,1
1997342,3.93,1
1997343,3.90,1
1997344,3.87,1
1997345,3.86,1
1997346,3.84,1
1997347,3.82,1
1997348,3.82,1
1997349,3.81,1
1997350,3.79,1
1997351,3.75,1
1997352,3.72,1
1997353,3.74,1
1997354,3.78,1
1997355,3.81,1
1997356,3.82,1
1997357,3.84,1
1997358,3.89,1
1997359,3.95,1
1997360,4.00,1
1997361,4.05,1
1997362,4.06,1
1997363,4.03,1
1997364,4.01,1
1997365,3.98,1
1998001,3.97,1
1998002,3.94,1
1998003,3.91,1
1998004,3.86,1
1998005,3.83,1
1998006,3.80,1
1998007,3.79,1
1998008,3.77,1
1998009,3.76,1
1998010,3.76,1
1998011,3.80,1
1998012,3.83,1
1998013,3.84,1
1998014,3.84,1
1998015,3.86,1
1998016,3.92,1
1998017,3.96,1
1998018,4.00,1
1998019,4.00,1
1998020,4.02,1
1998021,4.04,1
1998022,4.04,1
1998023,4.07,1
1998024,4.10,1
1998025,4.17,1
1998026,4.19,1
1998027,4.20,1
1998028,4.15,1
1998029,4.09,1
1998030,4.01,1
1998031,3.96,1
1998032,3.92,1
1998033,3.91,1
1998034,3.90,1
1998035,3.89,1
1998036,3.89,1
1998037,3.91,1
1998038,3.91,1
1998039,3.89,1
1998040,3.88,1
1998041,3.91,1
1998042,3.92,1
1998043,3.93,1
1998044,3.95,1
1998045,4.00,1
1998046,4.01,1
1998047,4.02,1
1998048,4.03,1
1998049,4.05,1
1998050,4.05,1
1998051,4.05,1
1998052,4.06,1
1998053,4.07,1
1998054,4.05,1
1998055,4.03,1
1998056,4.00,1
1998057,3.98,1
1998058,3.97,1
1998059,3.95,1
1998060,3.91,1
1998061,3.87,1
1998062,3.84,1
1998063,3.82,1
1998064,3.80,1
1998065,3.78,1
1998066,3.75,1
1998067,3.76,1
1998068,3.78,1
1998069,3.84,1
1998070,3.88,1
1998071,3.91,1
1998072,3.93,1
1998073,3.97,1
1998074,4.00,1
1998075,4.01,1
1998076,4.01,1
1998077,4.04,1
1998078,4.07,1
1998079,4.11,1
1998080,4.12,1
1998081,4.13,1
1998082,4.12,1
1998083,4.12,1
1998084,4.12,1
1998085,4.11,1
1998086,4.07,1
1998087,4.04,1
1998088,3.99,1
1998089,3.98,1
1998090,3.96,1
1998091,3.94,1
1998092,3.94,1
1998093,3.93,1
1998094,3.96,1
1998095,4.01,1
1998096,4.10,1
1998097,4.19,1
1998098,4.28,1
1998099,4.36,1
1998100,4.42,1
1998101,4.43,1
1998102,4.43,1
1998103,4.41,1
1998104,4.36,1
1998105,4.26,1
1998106,4.16,1
1998107,4.08,1
1998108,4.02,1
1998109,3.96,1
1998110,3.93,1
1998111,3.91,1
1998112,3.90,1
1998113,3.89,1
1998114,3.89,1
1998115,3.90,1
1998116,3.91,1
1998117,3.92,1
1998118,3.94,1
1998119,3.96,1
1998120,3.98,1
1998121,4.01,1
1998122,4.05,1
1998123,4.10,1
1998124,4.17,1
1998125,4.23,1
1998126,4.24,1
1998127,4.22,1
1998128,4.20,1
1998129,4.20,1
1998130,4.22,1
1998131,4.24,1
1998132,4.26,1
1998133,4.28,1
1998134,4.28,1
1998135,4.25,1
1998136,4.20,1
1998137,4.14,1
1998138,4.08,1
1998139,4.03,1
1998140,4.01,1
1998141,4.01,1
1998142,4.00,1
1998143,3.97,1
1998144,3.95,1
1998145,3.94,1
1998146,3.95,1
1998147,3.97,1
1998148,3.98,1
1998149,4.00,1
1998150,4.01,1
1998151,4.01,1
1998152,4.00,1
1998153,4.02,1
1998154,4.09,1
1998155,4.18,1
1998156,4.23,1
1998157,4.27,1
1998158,4.28,1
1998159,4.30,1
1998160,4.29,1
1998161,4.26,1
1998162,4.23,1
1998163,4.19,1
1998164,4.18,1
1998165,4.16,1
1998166,4.18,1
1998167,4.19,1
1998168,4.20,1
1998169,4.18,1
1998170,4.17,1
1998171,4.13,1
1998172,4.11,1
1998173,4.05,1
1998174,4.01,1
1998175,3.98,1
1998176,3.98,1
1998177,4.03,1
1998178,4.07,1
1998179,4.14,1
1998180,4.21,1
1998181,4.30,1
1998182,4.37,1
1998183,4.42,1
1998184,4.49,1
1998185,4.54,1
1998186,4.56,1
1998187,4.52,1
1998188,4.48,1
1998189,4.47,1
1998190,4.44,1
1998191,4.41,1
1998192,4.39,1
1998193,4.39,1
1998194,4.39,1
1998195,4.37,1
1998196,4.34,1
1998197,4.31,1
1998198,4.27,1
1998199,4.24,1
1998200,4.23,1
1998201,4.22,1
1998202,4.19,1
1998203,4.16,1
1998204,4.14,1
1998205,4.14,1
1998206,4.16,1
1998207,4.18,1
1998208,4.22,1
1998209,4.27,1
1998210,4.32,1
1998211,4.38,1
1998212,4.42,1
1998213,4.46,1
1998214,4.47,1
1998215,4.49,1
1998216,4.50,1
1998217,4.50,1
1998218,4.52,1
1998219,4.57,1
1998220,4.62,1
1998221,4.64,1
1998222,4.59,1
1998223,4.52,1
1998224,4.45,1
1998225,4.39,1
1998226,4.32,1
1998227,4.30,1
1998228,4.28,1
1998229,4.28,1
1998230,4.29,1
1998231,4.27,1
1998232,4.31,1
1998233,4.34,1
1998234,4.41,1
1998235,4.48,1
1998236,4.54,1
1998237,4.61,1
1998238,4.66,1
1998239,4.70,1
1998240,4.71,1
1998241,4.75,1
1998242,4.75,1
1998243,4.74,1
1998244,4.67,1
1998245,4.60,1
1998246,4.54,1
1998247,4.54,1
1998248,4.57,1
1998249,4.62,1
1998250,4.63,1
1998251,4.61,1
1998252,4.56,1
1998253,4.51,1
1998254,4.46,1
1998255,4.42,1
1998256,4.36,1
1998257,4.32,1
1998258,4.28,1
1998259,4.29,1
1998260,4.31,1
1998261,4.38,1
1998262,4.43,1
1998263,4.51,1
1998264,4.54,1
1998265,4.59,1
1998266,4.57,1
1998267,4.56,1
1998268,4.55,1
1998269,4.54,1
1998270,4.52,1
1998271,4.49,1
1998272,4.46,1
1998273,4.44,1
1998274,4.43,1
1998275,4.45,1
1998276,4.48,1
1998277,4.50,1
1998278,4.52,1
1998279,4.52,1
1998280,4.51,1
1998281,4.51,1
1998282,4.49,1
1998283,4.47,1
1998284,4.43,1
1998285,4.40,1
1998286,4.39,1
1998287,4.39,1
